#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu537,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,80,95,0,25,87,0,,,,,
Otu37,0,0,17,0,2,0,0,0,0,0,0,0,0,1737,0,177,0,1382,1899,0,667,1444,2,,,,,
Otu342,0,0,22,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,,,,,
Otu479,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,,,,,
Otu239,0,0,9,0,0,0,0,4,0,0,21,0,0,0,0,21,0,13,15,0,13,10,25,,,,,
Otu396,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,8,0,,,,,
Otu181,0,0,6,157,42,0,0,0,0,1,0,0,680,9,176,2,0,0,53,0,18,0,723,,,,,
Otu652,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,88,2,82,264,0,,,,,
Otu586,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,57,81,0,52,131,0,,,,,
Otu921,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu589,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu3,0,0,8,0,7,0,0,0,0,1,37,1,0,2,0,1223,51465,5724,1485,35,888,1434,46,,,,,
Otu568,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,27,4,8,100,0,62,480,0,,,,,
Otu538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,569,0,35,124,0,,,,,
Otu604,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,4,0,,,,,
Otu57,0,0,1,3,11,2,2,0,0,0,2,0,1,0,0,3,779,703,63,2948,31,0,18,,,,,
Otu20,0,0,6,0,0,0,0,0,0,0,0,1,0,388,0,409,231,2039,3648,0,1043,1409,1,,,,,
Otu841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,,,,,
Otu584,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,38,0,1,46,0,44,492,0,,,,,
Otu602,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,,,,,
Otu21,0,0,2,0,16,0,0,0,0,0,0,0,0,328,0,679,11,4813,8474,24,1609,7503,16,,,,,
