,RGnumSampled,variable,value,Location
338,33700,usearch.RG025,45.666,Governors Island
339,33800,usearch.RG025,45.679,Governors Island
340,33900,usearch.RG025,45.69,Governors Island
341,34000,usearch.RG025,45.706,Governors Island
342,34100,usearch.RG025,45.719,Governors Island
343,34200,usearch.RG025,45.733,Governors Island
344,34300,usearch.RG025,45.747,Governors Island
345,34400,usearch.RG025,45.758,Governors Island
346,34500,usearch.RG025,45.769,Governors Island
347,34600,usearch.RG025,45.777,Governors Island
348,34700,usearch.RG025,45.789,Governors Island
349,34800,usearch.RG025,45.799,Governors Island
350,34900,usearch.RG025,45.809,Governors Island
351,35000,usearch.RG025,45.824,Governors Island
352,35100,usearch.RG025,45.837,Governors Island
353,35200,usearch.RG025,45.857,Governors Island
354,35300,usearch.RG025,45.867,Governors Island
355,35400,usearch.RG025,45.876,Governors Island
356,35500,usearch.RG025,45.89,Governors Island
357,35600,usearch.RG025,45.9,Governors Island
358,35700,usearch.RG025,45.918,Governors Island
359,35800,usearch.RG025,45.928,Governors Island
360,35900,usearch.RG025,45.94,Governors Island
361,36000,usearch.RG025,45.953,Governors Island
362,36100,usearch.RG025,45.965,Governors Island
363,36200,usearch.RG025,45.972,Governors Island
364,36300,usearch.RG025,45.986,Governors Island
365,36400,usearch.RG025,45.999,Governors Island
366,36500,usearch.RG025,46.007,Governors Island
367,36600,usearch.RG025,46.018,Governors Island
368,36700,usearch.RG025,46.024,Governors Island
369,36800,usearch.RG025,46.036,Governors Island
370,36900,usearch.RG025,46.045,Governors Island
371,37000,usearch.RG025,46.06,Governors Island
372,37100,usearch.RG025,46.083,Governors Island
373,37200,usearch.RG025,46.097,Governors Island
374,37300,usearch.RG025,46.107,Governors Island
375,37400,usearch.RG025,46.12,Governors Island
376,37500,usearch.RG025,46.13,Governors Island
377,37600,usearch.RG025,46.145,Governors Island
378,37700,usearch.RG025,46.164,Governors Island
379,37800,usearch.RG025,46.172,Governors Island
380,37900,usearch.RG025,46.181,Governors Island
381,38000,usearch.RG025,46.192,Governors Island
382,38100,usearch.RG025,46.196,Governors Island
383,38200,usearch.RG025,46.207,Governors Island
384,38300,usearch.RG025,46.214,Governors Island
385,38400,usearch.RG025,46.219,Governors Island
386,38500,usearch.RG025,46.23,Governors Island
387,38600,usearch.RG025,46.238,Governors Island
388,38700,usearch.RG025,46.251,Governors Island
389,38800,usearch.RG025,46.254,Governors Island
390,38900,usearch.RG025,46.27,Governors Island
391,39000,usearch.RG025,46.282,Governors Island
392,39100,usearch.RG025,46.298,Governors Island
393,39200,usearch.RG025,46.306,Governors Island
394,39300,usearch.RG025,46.317,Governors Island
395,39400,usearch.RG025,46.333,Governors Island
396,39500,usearch.RG025,46.347,Governors Island
397,39600,usearch.RG025,46.353,Governors Island
398,39700,usearch.RG025,46.363,Governors Island
399,39800,usearch.RG025,46.374,Governors Island
400,39900,usearch.RG025,46.387,Governors Island
401,40000,usearch.RG025,46.398,Governors Island
402,40100,usearch.RG025,46.414,Governors Island
403,40200,usearch.RG025,46.427,Governors Island
404,40300,usearch.RG025,46.443,Governors Island
405,40400,usearch.RG025,46.454,Governors Island
406,40500,usearch.RG025,46.46,Governors Island
407,40600,usearch.RG025,46.471,Governors Island
408,40700,usearch.RG025,46.482,Governors Island
409,40800,usearch.RG025,46.494,Governors Island
410,40900,usearch.RG025,46.513,Governors Island
411,40972,usearch.RG025,46.527,Governors Island
412,41000,usearch.RG025,46.531,Governors Island
413,41100,usearch.RG025,46.54,Governors Island
414,41200,usearch.RG025,46.551,Governors Island
415,41300,usearch.RG025,46.562,Governors Island
416,41400,usearch.RG025,46.573,Governors Island
417,41500,usearch.RG025,46.591,Governors Island
418,41600,usearch.RG025,46.599,Governors Island
419,41700,usearch.RG025,46.609,Governors Island
420,41800,usearch.RG025,46.622,Governors Island
421,41900,usearch.RG025,46.629,Governors Island
422,42000,usearch.RG025,46.638,Governors Island
423,42100,usearch.RG025,46.656,Governors Island
424,42200,usearch.RG025,46.662,Governors Island
425,42300,usearch.RG025,46.678,Governors Island
426,42400,usearch.RG025,46.688,Governors Island
