#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu441,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu66,0,0,0,0,6,0,0,0,0,0,30,0,460,0,0,460,,,,,
Otu347,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu226,0,0,0,0,8,0,0,0,0,0,114,0,0,0,0,0,,,,,
Otu307,0,0,0,0,23,0,0,0,0,0,29,0,0,0,0,0,,,,,
Otu488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu426,0,0,0,0,8,1,136,0,0,0,170,0,0,0,0,0,,,,,
Otu87,0,0,0,0,20,12,77,0,11,0,50,166,0,0,0,0,,,,,
Otu437,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu273,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,,,,,
Otu527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu83,0,0,0,0,7,0,0,0,0,0,779,0,2,0,0,2,,,,,
Otu567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu320,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu285,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,,,,,
Otu199,0,0,0,0,4,0,0,0,0,0,88,0,0,0,0,0,,,,,
Otu498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu360,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu539,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu497,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu372,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu322,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,,,,,
Otu551,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu463,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu454,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu427,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,,,,,
Otu201,0,0,0,0,1,0,92,0,0,0,0,0,0,0,0,0,,,,,
Otu496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu499,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu390,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu453,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu15,0,0,0,0,21,377,0,0,51,0,0,2074,0,0,0,0,,,,,
Otu467,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
